"semanticResourceURN";"Code Value";"resourceSubTypeCode";"Code List";"Domain";"ExternalLink";"codeName";"Definition";"changeLog";"Status";"Version";"Change Date";"changeLogComment"
"urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode";;"CODELIST";"AdditionalLogisticUnitIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:GOODS_RECEIVER_ASSIGNED";"GOODS_RECEIVER_ASSIGNED";"CODEVALUE";"AdditionalLogisticUnitIdentificationTypeCode";"Shared";;"Goods receiver assigned";"An internal identifier assigned by the receiver of the goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:LOGISTICS_SERVICE_PROVIDER_ASSIGNED";"LOGISTICS_SERVICE_PROVIDER_ASSIGNED";"CODEVALUE";"AdditionalLogisticUnitIdentificationTypeCode";"Shared";;"Logistics service provider assigned";"An internal identifier assigned by the logistics service provider.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalLogisticUnitIdentificationTypeCode:SHIPPER_ASSIGNED";"SHIPPER_ASSIGNED";"CODEVALUE";"AdditionalLogisticUnitIdentificationTypeCode";"Shared";;"Shipper assigned";"An internal identifier assigned by the shipper.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode";;"CODELIST";"AdditionalPartyIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"CHANGED";"CURRENT";3;20/04/2017;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:BUYER_ASSIGNED_IDENTIFIER_FOR_A_PARTY";"BUYER_ASSIGNED_IDENTIFIER_FOR_A_PARTY";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"Buyer assigned identifier for a party";"An internal identifier assigned by a buyer, used to identify each trading partner with whom they engage in a commercial relationship.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:CASHSSP";"CASHSSP";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"CASHSSP";"Identifier assigned by the Cash Single Shared Platform, a cash distribution platform currently applied by several national central banks in Europe. Release notes: New in version 2.";"NEW";"CURRENT";2;12/06/2013;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DEA_DRUG_ENFORCEMENT_AGENCY";"DEA_DRUG_ENFORCEMENT_AGENCY";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"DEA";"United States official Drug Enforcement Agency database of persons and organizations certified to handle controlled substances under the Controlled Substances Act.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DUNS";"DUNS";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"DUNS";"Data Universal Numbering System. It is a nine-digit numbering system which uniquely identifies an individual business. The DUNS number is a nine-digit number issued by Dun & Bradstreet assigned to each business location in the D&B database having a unique, separate, and distinct operation for the purpose of identifying them. A DUNS number is also a way in which separate corporate entities, having no official relationship, can be branded as one by sharing one DUNS number among the affiliated comp";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:DUNS_PLUS_FOUR";"DUNS_PLUS_FOUR";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"DUNS+4";"The DUNS+4 refers to the DUNS number assigned by Dun and Bradstreet, plus a 4-character suffix that is assigned by the vendor to establish additional Central Contractor Registration  (CCR) database records for identifying alternative electronic funds transfer (EFT) accounts for the same vendor located at the same physical address.  Dun and Bradstreet has no affiliation with the 4-character suffix.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:EU_VAT_IDENTIFICATION_NUMBER";"EU_VAT_IDENTIFICATION_NUMBER";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"EU VAT Identification Number";"An identifier used to identify companies for value added tax purposes in the European Union.";"NEW";"CURRENT";3;20/04/2017;"14-171"
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_1";"FOR_INTERNAL_USE_1";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 1";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_10";"FOR_INTERNAL_USE_10";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 10";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_11";"FOR_INTERNAL_USE_11";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 11";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_12";"FOR_INTERNAL_USE_12";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 12";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_13";"FOR_INTERNAL_USE_13";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 13";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_14";"FOR_INTERNAL_USE_14";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 14";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_15";"FOR_INTERNAL_USE_15";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 15";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_16";"FOR_INTERNAL_USE_16";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 16";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_17";"FOR_INTERNAL_USE_17";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 17";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_18";"FOR_INTERNAL_USE_18";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 18";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_19";"FOR_INTERNAL_USE_19";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 19";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_2";"FOR_INTERNAL_USE_2";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 2";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_20";"FOR_INTERNAL_USE_20";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 20";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_3";"FOR_INTERNAL_USE_3";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 3";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_4";"FOR_INTERNAL_USE_4";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 4";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_5";"FOR_INTERNAL_USE_5";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 5";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_6";"FOR_INTERNAL_USE_6";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 6";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_7";"FOR_INTERNAL_USE_7";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 7";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_8";"FOR_INTERNAL_USE_8";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 8";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:FOR_INTERNAL_USE_9";"FOR_INTERNAL_USE_9";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"For internal use 9";"Identification used for internal mapping purposes.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:HIN_CANADIAN_HEALTHCARE_IDENTIFICATION_NUMBER";"HIN_CANADIAN_HEALTHCARE_IDENTIFICATION_NUMBER";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"HIN canadian healthcare identification number";"Not Available";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:PARTITA_IVA";"PARTITA_IVA";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"Agenzia delle Entrate";"An identification number assigned to a party by the Italian ""Agenzia delle Entrate"" for fiscal purposes";"NEW";"CURRENT";2;12/06/2013;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SCAC";"SCAC";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"SCAC";"Standard Carrier Alpha Code, used for identifying truckers, railroads and other conveyors";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SELLER_ASSIGNED_IDENTIFIER_FOR_A_PARTY";"SELLER_ASSIGNED_IDENTIFIER_FOR_A_PARTY";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"Seller assigned identifier for a party";"An internal identifier assigned by a seller, used to identify each trading partner with whom they engage in a commercial relationship.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:SIRET";"SIRET";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"SIRET";"The SIRET is a 14 digit number composed by the SIREN (9 digits) and an internal classification number of 5n (NIC) identifying the company location.  This code value is applicable in the French context and SIRET stands for Système d'Identification du Répertoire des Etablissements";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:TD_LINK_TRADE_DIMENSIONS";"TD_LINK_TRADE_DIMENSIONS";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"TD link trade dimensions";"Nielsen assigned party identifier that allows companies to link their party master files to a corresponding Nielsen TDLinx Code. Nielsen TDLinx creates a link file between each customer number and Nielsen TDLinx Code, store to store and account to account.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UCC_COMMUNICATION_IDENTIFICATION";"UCC_COMMUNICATION_IDENTIFICATION";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"UCC Communication Identification";"UCC Communication Identification";"NEW";"CURRENT";2;12/06/2013;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UN_LOCATION_CODE";"UN_LOCATION_CODE";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"UN Location Code";"UN Location Code";"NEW";"CURRENT";2;12/06/2013;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:UNKNOWN";"UNKNOWN";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"Unknown";"Additional Party Identification is unknown.";"NEW";"CURRENT";2;12/06/2013;
"urn:gs1:gdd:cl:AdditionalPartyIdentificationTypeCode:USDA_ESTABLISHMENT_NUMBER";"USDA_ESTABLISHMENT_NUMBER";"CODEVALUE";"AdditionalPartyIdentificationTypeCode";"Shared";;"USDA establishment number";"United States Department of Agriculture assigned identifier. All containers of meat, poultry, and egg products must be labeled with a USDA mark of inspection and establishment (EST number), which is assigned to the plant where the product was produced.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode";;"CODELIST";"AdditionalReturnableAssetIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode:INDUSTRY_ASSIGNED";"INDUSTRY_ASSIGNED";"CODEVALUE";"AdditionalReturnableAssetIdentificationTypeCode";"Shared";;"Industry assigned";"An identifier assigned by a sector specific agency for the returnable asset.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalReturnableAssetIdentificationTypeCode:OWNER_ASSIGNED";"OWNER_ASSIGNED";"CODEVALUE";"AdditionalReturnableAssetIdentificationTypeCode";"Shared";;"Owner assigned";"An internal identifier assigned by the party that owns the returnable asset.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode";;"CODELIST";"AdditionalServiceRelationIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode:INDUSTRY_ASSIGNED";"INDUSTRY_ASSIGNED";"CODEVALUE";"AdditionalServiceRelationIdentificationTypeCode";"Shared";;"Industry assigned";"An identifier assigned by a sector specific agency for service.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalServiceRelationIdentificationTypeCode:SERVICE_PROVIDER_ASSIGNED";"SERVICE_PROVIDER_ASSIGNED";"CODEVALUE";"AdditionalServiceRelationIdentificationTypeCode";"Shared";;"Service provider assigned";"An internal identifier assigned by the party providing the service.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode";;"CODELIST";"AdditionalShipmentIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:GOODS_RECEIVER_ASSIGNED";"GOODS_RECEIVER_ASSIGNED";"CODEVALUE";"AdditionalShipmentIdentificationTypeCode";"Shared";;"Goods receiver assigned";"An internal identifier assigned by the receiver of the goods.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:LOGISTICS_SERVICE_PROVIDER_ASSIGNED";"LOGISTICS_SERVICE_PROVIDER_ASSIGNED";"CODEVALUE";"AdditionalShipmentIdentificationTypeCode";"Shared";;"Logistics service provider assigned";"An internal identifier assigned by the logistics service provider.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalShipmentIdentificationTypeCode:SHIPPER_ASSIGNED";"SHIPPER_ASSIGNED";"CODEVALUE";"AdditionalShipmentIdentificationTypeCode";"Shared";;"Shipper assigned";"An internal identifier assigned by the party sending the shipment.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode";;"CODELIST";"AdditionalTradeItemClassificationCodeListCode";"Shared";;;"Code list developed and managed by GS1.";"CHANGED";"CURRENT";9;20/04/2017;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:1";"1";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"GXS";"GXS Product Data Quality (Formerly UDEX LTD)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:10";"10";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"CCG";"CCG - Code system used in the GS1 Germany market";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:11";"11";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"EANFIN";"EANFIN - Code system used in the GS1 Finland market";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:13";"13";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"IFLS5";"IFLS5 - Code system used in the GS1 France market";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:14";"14";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"CBL";"CBL - Code system used in the GS1 Netherlands market";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:15";"15";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"JICFS";"Catalogue Item Information Service of Japan JICFS. Classification system maintained by GS1 Japan and used mainly on the Japanese market.";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:16";"16";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"European Union";"European Union. The economic association of over a dozen European countries which seek to create a unified, barrier-free market for products and services throughout the continent.
Category of product eligible for EU subsidy (applies for certain dairy products with specific level of fat content.
1 Category I - full milk (>3,5 % fat)
2 Category II - standard milk (3,0 - 3,5 % fat)
5 Category V - medium fat milk (1,5 - 1,8 % fat)
7 Category VII - low fat milk (<0,5 % fat)
9 Category IX - other";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:17";"17";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"GS1 Spain";"GS1 Spain. A product classification system maintained by GS1 Spain and used in the Spanish Market.";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:18";"18";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"GS1 Poland";"GS1 Poland. A product classification system maintained by GS1 Poland.";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:19";"19";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"Federal Agency on Technical Regulating and Metrology of the Russia Federation";" A Russian government agency that serves as a national standardization body of the Russian Federation.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:2";"2";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"IRI";"IRI";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:20";"20";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"ECR";"Efficient Consumer Response (ECR) Austria";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:21";"21";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"GS1 Italy";"GS1 Italy";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:22";"22";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"CPV";"Common Procurement Vocabulary (CPV) was introduced in 1996 as a means of raising the level of transparency and efficiency in the field of public acquisition. The use of the standard names of the CPV facilitates the marking of the procurement contracts they are interested in. In addition, CPV facilitates the swift and exact translation of contract information for publication in the official EU Bulletin as well as the preparation of procurement statistics. The CPV code consists of eight characters as well as a control character.  It is managed by the Office for Official Publications of the European Communities (OPOCE).";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:23";"23";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"IFDA";"International Foodservice Distributors Association (IFDA)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:24";"24";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"AHFS";"American Hospital Formulary Service AHFS Pharmacologic - Therapeutic Classification© (AHFS)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:25";"25";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"ATC";"Anatomical Therapeutic Chemical classification (ATC)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:26";"26";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"ClaDiMed";"Classification des Dispositifs Médicaux (ClaDiMed)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:27";"27";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"CMDR";"Canadian Medical Device Regulations (CMDR)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:28";"28";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"CND";"Classificazione Nazionale dei Dispositivi Medici (CND)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:3";"3";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"AC Nielsen";"AC Nielsen";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:30";"30";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"UKDM&D";"UK Dictionary of Medicines & Devices( DM&D) Standard Coding Scheme";"CHANGED";"CURRENT";2;01/03/2013;"Code name corrected"
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:31";"31";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"eCl@ss";"Standardized Material and Service Classification and Dictionary";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:32";"32";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"EDMA";"Classification for in vitro diagnostics medical devices (EDMA)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:33";"33";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"EGAR";"European Generic Article Register Classification (EGAR ) standard for medical devices";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:34";"34";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"IMS";"IMS Healthcare Generic Product Classification";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:35";"35";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"GMDN";"Global Medical Devices Nomenclature (GMDN)";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:36";"36";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"GPI";"Generic Product Identifier (GPI). A drug code list managed by Medi-Span.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:37";"37";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"HCPCS";"Healthcare Common Procedure Coding System (HCPCS): Pronounced as Hick Picks.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalTradeItemClassificationCodeListCode:38";"38";"CODEVALUE";"AdditionalTradeItemClassificationCodeListCode";"Shared";;"ICPS";"International Classification for Patient Safety (ICPS). For use in Field Testing in 2007-2008 (WHO).";"NEW";"CURRENT";1;;
